,name,description,is_preschooler
90,clifford's first easter,"published in february, 1994, clifford's happy easter was a great success. now here's this year's new easter title--packed with hidden surprises, this adorable lift-a-flap book chronicles clifford's first easter with emily elizabeth. full color.",0
91,clifford's peekaboo,the reader may guess where a small red puppy is hiding at each turn of the page. on board pages.,0
92,"clifford counts 1, 2, 3 board book","children learn to count to three with images of familiar objects, vehicles, animals, and the beloved big red dog himself.",0
94,clifford's neighborhood (oversized  lift-the-flap),"it's a wonderful day in clifford's neighborhood where children can learn their abc's, their 1-2-3's and more!<br /><br />more than 80 sturdy cardboard flaps to lift up and peek under.<br /><br />welcome to clifford's neighborhood. at the pier, children will open the doors of the cheerful stores to meet clifford's neighbors and learn about colors! at the schoolhouse, readers will learn to count to twenty, and at the library, they'll learn the abc's. they'll play a memory game at the beach and a matching game in clifford's doghouse.<br /><br />also in this format : clifford's schoolhouse.",0
98,glow-in-the-dark christmas,"it's christmas eve, and clifford and his friends are busy playing in the snow. they make snow angels, build snowmen, and listen to carols. it's a wonderful night on birdwell island that's made perfect when santa finally arrives",0
103,clifford's noisy day,"clifford is a dog who awakens and is confronted throughout the day with cats meowing, people chattering, the crunch of his dogfood, the pop of the toaster, and the ring of a telephone.",0
107,shark in the park,"<b>a special edition of this much-loved classic to celebrate 20 fin-tastic years! </b><br /><br /><i>
  <b>timothy pope, timothy pope, what can you see through your telescope?</b>
</i><br /><i>
  <b>is there a really a shark in the park? go on, be brave, open the book and see! </b>
</i><br /><br />timothy pope has a brand new telescope and he's testing it out at the park. peep through the die-cut holes in this book to see if you can spy a shark. is that <i>really </i>a shark? turn the page and find out . . .<br /><br />a delightful, entertaining story - with its rhyming text and ingenious die-cut pages, it's a book children will want to read again and again.",0
108,uncover a shark (an uncover it book),"uncover one of the world's most fascinating and feared predatory creatures in this innovative 3-dimensional book. uncover a shark takes you on a whole new learning experience, layer-by-layer to provide children with an indepth and all encompassing understanding of the subject and its anatomy. great whites are one of the most feared and studied mammals of all time. this 16-page book examines the alluring great white in detail. first the basic elements--their cartilaginous nature, teeth, fins, and gills--then more complex systems are detailed--the cardiopulmonary systems, digestive system, and the acute sensory systems. each organ or system is intricately placed inside the book to provide a three dimensional view of its size in relation to the rest of the body. each page is filled with interesting facts and detailed illustrations that desctibe each part.<br />did you know that engineers study sharks in order to design better ships and rockets since the sharks body is well-suited to gliding through the water? or that a great white can also eat 10 tons of meat a year but often go several days in between meals. explore these questions and many others as uncover a shark takes you on a jouney you won't forget!",0
110,shark in the park,"-- join pup and his friends sam sheep, jake the snake and big pig as they discover a shark in the park.-- the newest addition to the easy words to read phonics series, shark in the park is sure to delight young and older readers alike.-- an 'about phonics' page is included for parents and teachers and fold-out pages add to the fun!",0
116,walt disney pictures presents the prince and the pauper,"the prince and the pauper is a novel written by american author mark twain. the story centers around two young boys who look identical in appearance, but one is a pauper and the other is prince edward, the son of king henry viii.",0
119,naughty kitten: a touch and feel adventure,"meow! what mischief is kipper the kitten getting into? follow her adventures to see what a happy mess she's making. there are nuggets of food all over the floor, a powder puff knocked off the dresser, and pillow feathers flying around. and the fish are probably getting nervous because kipper looks as if she'd like to play with them. no wonder she's such a tired and satisfied kitty at the end of the day. <br />",0
122,did you see chip?,"kim's dog, chip, is lost in the big city. how will she find him? maybe her new friends can help. . . .<br />",0
125,the goose that laid the golden egg: a retelling of aesop's fable,a farmer learns a lesson in greed when one of his geese begins to lay one - and only one - golden egg each day.,0
127,gran (oxford reading tree: stage 5: storybooks),"contains artwork for the core stories at stages 2 - 5, this work contains take-home cards for storybooks from stages 1 - 9. it contains a free resources website with downloadable photocopy masters and a teacher's handbook and special edition for scotland. this work also contains 3 added stories.",0
129,do i have to go to the hospital?: a first look at going to the hospital,"books in the popular and growing <i> a first look at </i> series speak directly to preschool and early-grades kids, encouraging them to explore their feelings and talk to trusted elders about things that bother them. these titles also give them a start in developing basic social skills, as well as explain things that might otherwise make kids anxious. the books are filled with child-friendly color illustrations and easy-to-understand text. this reassuring book helps kids understand that sometimes, when they are sick, it is best that they go to a hospital. they can make new friends, have visitors, get special care from doctors and nurses--and best of all, get well again.",0
132,super submarines,"this adventurous picture book is the tenth title in this critically acclaimed series for toddlers by the poet tony mitton and the illustrator ant parker. young readers climb aboard a super submarine with mouse, rabbit, and bird and learn what submarines do, how they do it, what makes them go down, and how they come back up again. appealing artwork complements the lively rhyming text, and there is a helpful illustrated glossary of technical words at the end to help build vocabulary and identify what's what in super submarines!",0
133,spot bakes a cake,"celebrate summer with spot and his friends in these brand-new lift-the- flap editions! kids can still lift the flaps to bake a cake and to spend time with spot and his grandparents, but now their favorite puppy will be featured in a colorful new design. for the first time since their publication, these two lift-the-flaps will have full-color covers and spines.",0
143,flashing fire engines,"flashing fire engines (amazing machines) by tony mitton and ant parker<br /><br />""big bold fire engines, waiting day and night, ready for a rescue or a blazing fire to fight. as soon as there's a fire alarm, the engines start to roar. the firefighters jump aboard...it rumbles out the door."" jump aboard a bright red fire engine with a trio of friendly animal firefighters as sirens wail, lights flash, fire hoses squirt, and fires blaze -- in this story that blends action and rhyme with all the details kids want to know about one of their favorite machines. the mix of visual entertainment and lively wordplay ensures that young children will delight in the reading experience, as will the adults fortunate enough to read aloud these irresistible rhymes!",0
146,how obelix fell into the magic potion when he was a little boy (asterix comic),"<div>
  <div>
    <div>every one of the asterix stories refers to a decisive moment in obelix's life: when he, as a six-year-old boy, fell into the druid's cauldron of magic potion. as a consequence of this accident, he developed phenomenal physical strength. but what actually happened? how did obelix make that life-altering plunge?<br />here is the full story of what took place on that incredible day.<br /></div>
  </div>
</div>",0
148,where do insects live?,photographs and simple text describe the habitats of different insects.,0
155,"go to sleep, groundhog!","poor groundhog just can't sleep. he tosses. he turns. finally, he gets out of bed and goes exploring. outside his burrow he finds amazing sights he has never seen before: glowing jack-o'-lanterns, gobbling turkeys, and sparkling holiday lights. but shouldn't groundhog be in bed? with no sleep how will he be able to get up for his big day?",0
174,peekaboo bugs,peekaboo -- lots to do! <p> where is the yellow bug? the blue bug?</p><p> the pink one? turn the wheels to find out!</p><p> david a. carter's bug fans will have tons of fun with the peekaboo surprises hidden under the 45 lift-the-flaps.</p>,0
175,fix-it board book,"""a welcome return for the cuddly and lovable bear-heroine of fix-it and emma's pet . . . wondering what type of vacation to take? choose emma's!"" said publishers weekly of the original hardcover picture book. and now it's available as a board book, perfect for kids who know what it is like to always have to do what adults want to do. everybody loves vacations, but not everybody loves the same things. when emma's mom and dad make all the plans--a car drive, a bus ride, trips on boats and trains--sight-seeing is exhausting! so adorable emma shows them how to have a really good time, with a lot less fuss.",0
179,where's my nose?,"i've looked high, i've looked low! where do you suppose a nose would go? who knows where to find a nose? join a host of adorable babies in this sturdy rhyming board book as they search through their clothes, under furniture, and just about everywhere. and then-surprise! at the back there's a shiny mylar mirror in which babies will be thrilled to discover their own noses.",0
183,dancing in my bones,"your 2 1/2-year-old is full of bouncing, dancing energy.<br /><br />tips for reading and sharing:<br /><br />recite portions of the text as you dance with your child<br /><br />point to and identify the body parts mentioned in the story<br /><br />make up playful extensions to the text, such as ""i've got teeth in my mouth; i've got hair on my head.""",0
190,the secret birthday message,"a message in code starts tim off on an exciting treasure hunt through a dark cave, an underground tunnel, and other strange places until at the end he finds a happy surprise.",0
192,spot's birthday party,"the bestselling puppy is better than ever. spot's 25th birthday presents are bold, beautiful color covers that give him a great new look. enjoy spot in paperback with full-color covers and traditional lift-the-flap features. have more fun with spot!",0
202,a book of hugs,"have a hug!there are all kinds of hugs. <br />porcupine hugs are done very carefully.<br />knee hugs are good for hugging someone tall.<br />and piggyback hugs are the best way to see a parade.<br />from birthday hugs to great-aunt mary hugs, every hug has a purpose even a lamppost hug.<br />you should never hug tomorrow when you can hug today.<br />but which hug will you choose?<br /><br />puppy hugs<br /><br />fraidycat hugs<br /><br /> birthday hugs<br /><br />i love-you-hugs<br /><br />in this delightfully cuddly book, dave ross and laura rader team up to give us a warm and friendly look at some of the best kinds of hugs around. an alternate selection of childrens book-of-the-month club.",0
204,icy watermelon/sandia fria,"juvenile fiction. latino/latina studies. part of the arte publico press pinata book series, this wonderfully illustrated, bilingual children's book (spanish/english) is about the delights and felicity of eating watermelon, leading to happy family reminiscences. written by mary sue galindo, a mother, poet, and former teacher who saw a need for children's literature that would transmit the best aspects of her hispanic cultural heritage.",0
217,cookie house,"a poor woodcutter's two children, lost in the woods, come upon a gingerbread house inhabited by a wicked witch.",0
221,happy birthday to you!,"<b>celebrate your unique self with dr. seuss and the great birthday bird in the ultimate birthday book!</b><br /><br /><i>i wish we could do what they do in katroo.</i><br /> <i>they sure know how to say ""happy birthday to you!""</i><br /> <i> </i><br /> in the picture book <i>happy birthday to you!, </i> dr. seuss has crafted the perfect celebration of the person you were born to be. when the great birthday bird arrives to usher in your ""day of all days,"" you can expect a colorful romp full of fantastical fun that is all about you!<br /> <i> </i><br /> with birthday festivities on every page, readers go on a journey that teaches them to celebrate being themselves--every single day of the year! this joyful classic rejoices about the things that make you unique! it's the essential birthday gift for ages one to 101--from the one and only dr. seuss!<br /><br /><i>today you are you! that is truer than true! there is no one alive who is you-er than you!</i><br /><br />""pretty much all the stuff you need to know is in dr. seuss."" -president barack obama",0
228,"black cat, white cat: a pop-up book of opposites","once again raising pop-up books to the level of fine art, chuck murphy, the acclaimed author-artist, employs ingeniously clever mechanical devices and hilarious pictures of felines to illustrate the all-important concept of opposites. early learners, cat fanciers, and book lovers of all stripes will purr with pleasure.",0
237,the foolish tortoise,a tortoise realizes the need for a shell after several scary encounters.,0
239,the greedy python,"the greedy python is quick to gobble up every creature he meets--including to his own great misfortune, himself, when he mistakes the tip of his tail for a lunchtime treat. full-color illustrations.",0
240,the candystore man,"with a bip-bop-shadip, the jazzy proprietor of a corner candy store takes a lonely young boy under his wing and teaches him, by example, what it means to be part of a community. jonathan london's finger-popping rhyme and kevin o'malley's jiving illustrations tell the hip-hop, heartwarming tale of an everyday hero whose heart -- and door -- are always open.",0
249,"arthur's back to school surprise (step-into-reading, step 3)","arthur is all set for the first day back at school, but he no sooner sets foot in his new classroom when d.w.’s mary moo-cow, a talking toy for preschoolers, falls out of his backpack in front of all his friends. his friends laugh and begin teasing poor embarrassed arthur. how did that silly toy get into his backpack and how will he ever live it down?",0
250,arthur's reading race,"arthur promises to buy ice cream for his little sister, d.w., if she can read ten words.  the twosome race to the park, where d.w. is quick to recognize signs such as zoo, don't walk, police, and ice cream.  when she reads wet paint before her big brother does, arthur is in for a colorful surprise!",0
259,how many bugs in a box?: a pop-up counting book,"<b>here is the book that started the bugs phenomenon! inside each bright box are bugs to count from one to ten. bugs fans will laugh and learn as they lift open the boxes and find colorful, comical bugs that pop out, run, eat -- and even swim! <i>how many bugs in a box?</i> will keep children counting over and over again.</b>",0
260,i spy little letters: a book of picture riddles,"<b>search-and-find riddles paired with amazing photographs will captivate kids of all ages in the bestselling <i>i spy</i> series.</b><br />filled with fun photos from the original <i>i spy</i> series, the <i>i spy</i> little board books build reading and recognition skills.<br /><br />preschoolers can search for letters galore, as well as other intriguing toys and trinkets! picture clues and rhyming riddles guide the youngest readers through the delightful puzzles.",0
263,just grandpa and me (a golden look-look book),"join little critter and his grandpa in this big-city adventure! family fun and love are in abundance when little critter and his grandfather head to the big city! little critter sure is little, but he's a big help to his grandfather. little critter holds his hand so his grandfather doesn't get lost, demonstrates how to go up and down the store's escalator, and even shows grandpa how to use chopsticks for the first time!",0
264,just say please (little golden book),children will learn along with little critter and his classmates that being considerate of others is the key to having good manners.,0
265,where's kitty? (mercer mayer's little critter),"illustrated in full color. little critter wants to play with kitty, but grandma says she's sleeping. by the time he searches the entire farm for the cat, little critter is ready for a nap, too!",0
266,"skating day, grades pk - k: level 1",let little critter(r) take your child on a reading adventure!<br /><br />little critter and his friends spend the day ice skating and having fun!<br /><br /><br /><br />skating day is an original little critter first reader for children ages 3 to 6. this charming leveled reader feature,0
267,just a nap,"mom says to take a nap, but we just aren't ready for one.",0
268,i drive a garbage truck,describes and illustrates the job of a garbage collector and how a garbage truck works.,0
273,young cornrows callin out the moon,"this volume is a celebration of african american culture and community that evokes the sights, smells, tastes and rhythms of the author's childhood in philadelphia.",0
283,now i eat my abc's,"fun photographs of all kinds of foods that begin with and form the letters of the alphabet!<br /><br />now it's time to eat the abc's!<br />from blueberries to grapes, noodles to watermelon, this book is stuffed with fun, kid-friendly foods. on each full-color spread are photos of foods that begin with and form letters: a b is made out of blueberries, an o is made out of an orange, a z is made out of zucchini sticks, and more!<br />babies will love the pastel colors and the big, bold letters. toddlers will enjoy identifying the letters and the foods. and parents will find new foods for their little ones to try, as well as a new way to teach the alphabet!",0
294,mcduff and the baby,"when fred and lucy bring home a new baby, mcduff is worried! it's been just the three of them ever since mcduff moved in! is there really room for one more in their family?",0
300,how many elephants?: a lift-the-flap counting book,"pay no attention to the elephants dancing behind you! the running visual joke in this lift-the-flap counting book will provoke more giggles with every new number. <br />let's count things.<br />how many elephants<br />are in your closet? <br />well, as every child knows, that's a silly question! see, no elephants in here! zero! let's get on to more reasonable things to count: shoes behind the curtain, markers in the box, toy dinosaurs in the drawer. and no, there are still no elephants in the closet -- though someone seems to have left a trail of peanut shells in there. and why are ten pachyderms partying outside the window?",0
301,barney goes to the zoo,the popular purple dinosaur has his own series of great books for preschoolers.,0
302,bridge to terabithia,"jess aarons' greatest ambition is to be the fastest runner in the fifth grade. he's been practicing all summer and can't wait to see his classmates' faces when he beats them all. but on the first day of school, a new kid, a girl, boldly crosses over to the boys' side of the playground and outruns everyone. that's not a very promising beginning for a friendship, but jess and leslie burke become inseparable. it doesn't matter to jess that leslie dresses funny or that her family has a lot of money– but no tv.<br /><br />leslie has imagination. together she and jess create a magical kingdom in the woods– they call it terabithia– where they reign as king and queen, and their imaginations set the only limits. then one morning, a terrible tragedy occurs. only when jess is able to come to grips with the tragedy does he finally understand the strength and courage leslie has given him.",0
306,amazing mallika,a tiger cub who lives in india's ranthambhore park wildlife preserve learns some ways to control her quick temper. endpages give factual information about india.,0
310,"the missing wedding dress, featuring barbie (little golden book)",barbie and skipper help a frantic bride-to-be locate her missing wedding dress.,0
321,palomino horses,"this series profiles different members of the horse family. readers will learn about horses' physical characteristics, food, and babies. horse equipment, training, and how to care for them are also covered in these informative books.<br />-- glossary, index, bibliography, maps, and diagrams are useful for reports<br />-- supports science and natural history curriculum<br />-- simple, straight-forward text and full-color photos capture the attention of the reluctant reader",0
322,america the beautiful: a song to celebrate the wonders of america,"discusses the history of the song ""america the beautiful,"" and includes the song lyrics plus an activity to do at home.",0
337,maurice sendak's seven little monsters: monsters in space - book #1,"the seven little monsters are about to blast off on a major adventure. a rainy saturday afternoon makes way for an exciting trip to pluto! with the help of every member of the family and some pretty wild imaginations, the seven little monsters get an out of-this-world ride.",0
340,the stranger and the red rooster/el forastero y el gallo rojo,"one day in a small california barrio, a scary-looking stranger with an ugly scar on his face arrives. silence falls on the streets. normally raucous children stop playing, and their fearful mothers quickly beckon them inside. everyone peeks out of windows and doors to watch the stranger walk down main street. later in the week, the stranger again appears in town. and a few days later, on a pleasant sunday morning, the man shows his frightening face yet again. but this time, he's not alone. cradled in the stranger's arms is a big, red rooster with a yellow ribbon tied around its neck. when the rooster sets off after a bug with the stranger hanging on to the ribbon like a cowboy who had lassoed a wild bull, the townspeople are finally able to look past the long, ugly scar on the stranger's face. echoing the oral tradition common to so many latinos, acclaimed author victor villasenor shares with young readers one of his father's favorite stories. with vibrant illustrations by jose jara, this will soon become the favorite of many children aged 3 to 7.",0
350,usborne first nature: wild animals (usborne first nature),"-- beautifully detailed, informative illustrations introduce the world of nature-- simple text encourages young children to read for themselves",0
351,catch the ball!,children will learn how to identify nine different animals in this rhyming board book as they pass a cardboard ball attached to a string through a die-cut hole in each page.,0
353,amazing bats (eyewitness juniors),"full-color photos &amp; full-color illustrations. explains how bats ""see"" in the dark, which bats eat fruit or insects and which suck blood, and why some bats have ""nose leaves,"" ear spikes, and other unusual facial features. ""the author manages to correct just about every erroneous notion many persons still hold about these mammals. a wide distribution of this volume is to be encouraged.""--(starred) <i>science books and films. </i>",0
354,lost kingdom (lego knights' kingdom),"<div>for king, for morcia, for the code! a new adventure begins . . .<br /><br />capture the fortress. save the kingdom.<br /><br />sir jayko, sir danju, sir rascus, and sir santis must stop lord vladek's evil plan. with powerful new armor, swords, and shields, the four heroes travel to the lost kingdom of ankoria to find the dark fortress, and help king mathias and his army capture it. if they fail, morcia will be lost.<br /><br />for younger readers and fans of the toys an adventure just for them.<br /><br /></div>",0
360,poems and prayers for the very young,"illus. in full color. children will treasure rossetti's ""who has seen the wind,"" emerson's ""father we thank thee,"" stevenson's ""rain,"" and 35 other warm inspirational verses collected here, all gracefully illustrated.",0
368,little duck (finger puppet book),a brightly colored finger puppet attached to each book peeks out from every spread. sure to make a little one smile.,0
369,find the duck,"where is the duck? toddlers are challenged to find it in this book which provides other amusing situations to talk about, and familiar objects to name.",0
370,five little ducks,"""five little ducks went out one day,<br />over the hills and far away.<br />mother duck said,<br />""quack, quack, quack, quack.""<br />but only four little ducks came back""perfect for toddlers, this cozy and charming counting book, with its rollicking verse and bright, humorous illustrations, is now available in a sturdy board book edition.<br /><br />one by one, the five little ducks disappear, while mother duck is busy with her chores. in addition to the dwindling duck family, there are lost of other creatures for children to identify and count in the bucolic early-autumn landscape. and there is cause for celebration when finally all five errant little ducks come back.",0
371,ducks in muck (for baby board books),<i>ducks in muck. ducks stuck in trucks. trucks stuck in muck. how will the trucks and ducks get unstuck?</i><br /> <br />discover what happens to a group of friendly ducks when they play in the muck and then are taken away in a truck!<br /><br /><br /><i>from the trade paperback edition.</i>,0
377,mulan (disney princess),"in order to save her father’s life, a young woman named mulan disguises herself as a soldier and takes his place in the army. will mulan bring shame to her family for what she has done? or will she help save china from the huns? find out in this 24-page pictureback book that retells the classic disney film <i>mulan</i>, and features a dazzling foil cover!",0
380,bob's busy saw,a tool book for every little builder's toolbox!,0
382,rainbow fish colors/colores,"in ""colors/colores,"" the appealing images from rainbow fish's undersea world are identified on facing pages in the appropriate color.",0
383,rainbow fish counting/n·meros,"<div>this glittering rainbow fish board book is now available in a bilingual edition, teaching basic concepts in english and spanish to very young children. in ""counting/nc: meros,"" simple, bold pictures, reinforced with numerals in matching colors teach children the numbers 1-10.</div>",0
385,what comes in a shell (science emergent reader),photographs and simple text introduce some of the marine animals that live in shells.,0
387,the enchanted christmas (disney's beauty and the beast),"based on disney's beauty and the beast: the enchanted christmas produced by walt disney television animation. mrs. potts retells the story of last christmas, before they became human again.",0
388,julius's candy corn,when can waiting<br />for a party be both<br />a trick and a treat?<br />just ask julius!<br />,0
390,"angelica, island princess (rugrats go wild)","<br /> the rugrats are stranded on a desert island! while their parents search for a way home, angelica is put in charge of the babies. she tries to make them treat her like an island princess, but no one will listen to her. has angelica lost her touch? luckily she stumbles upon debbie thornberry -- the perfect person to help her regain her bossy ways!",0
394,lift-the-flap bible (lift-the-flap book),"twelve stories from the old and new testaments come vividly to life in this lift-the-flap book that features a unique approach to bible stories. with over 45 interactive lift-up flaps, easy-to-understand text, and gorgeous artwork by tracey moroney, lift-the-flap bible allows children to learn about god, while enjoying the fun-filled flap surprises.",0
404,toy story 2,"when woody gets toynapped, it’s up to buzz lightyear and the other toys to rescue him. but now that woody has met jessie and the other <i>woody’s roundup </i>toys, will he want to go home? find out in this exciting little golden book retelling of the hit film <i>toy story 2</i>.",0
406,we eat dinner in the bathtub,"[<i>scholastic reader level 2</i>]<br /><br />harris's family eats dinner in the bathtub, parks their car in the kitchen, and bathes in the attic! beginning readers will laugh along with the comical text from well-loved author angela shelf medearis and humorous watercolor illustrations from best-selling illustrator jacqueline rogers.",0
407,barbie fairytopia: a storybook,"based on the upcoming video release, in which barbie stars as the fairy elina. all elina wants is a pair of wings so she can fly like the other fairies. but when the evil laverna casts a spell over fairytopia, elina may be the only one who can help. includes press-out fairy jewelry. full color. consumable.",0
408,barbie fairytopia: mermaidia board book (barie fairytopia),the success of <i>barbie</i>™<i>fairytopia</i>™<i>: mermaidia</i>™<i> </i>continues with this brand-new board book based on the bestselling dvd! now the youngest barbie fans can read how the sweet fairy elina transforms into a beautiful mermaid to save mermaidia!,0
410,"karen's two families (baby-sitters little sister, #48)","karen and her brother live in a divorced fammily and share time with each of their parents. she and andrew, who miss their father and their ""big house family"", help their parents work out a new custody arraangement that makes everyone a lot happier--even a hermit crab named bob.",0
411,"karen's tattletale (baby-sitters little sister, #61)",karen wasn't sympathetic when her little brother andrew got in trouble because of a class tattletale. now andrew is tattling on everything karen does and she doesn't like it one bit!,0
412,"karen's big weekend (baby-sitters little sister, #44)","karen visits the big apple where she not only sightsees, but donates her gift money to a holiday collection for needy children.",0
414,science in the kitchen,-- basic scientific principles are explained with the aid of fun experiments and activities-- all experiments use everyday household equipment-- simple text and illustrations enable children to use the books by themselves,0
416,four fur feet,poetic text and illustrations describe an animal's journey around the world on his four fur feet.,0
417,elmer's friends (english–urdu),"although elmer's friends are all different, they have one thing in common.",0
427,"spider-man 2: hands off, doc ock!","the bank is doing business as usual until a mysterious stranger starts trouble. is this just another robbery or one of doc ock's cunning plans to get his tentacles on spider-man? peter parker finds himself trapped in the bank, but he can't withdraw. as spider-man, he must save the money -- and save the day!",0
432,the dream eater,a lush tale set in japan about a boy and a baku - an eater of bad dreams.,0
