,name,description,is_preschooler
11,don't squash that bug!: the curious kid's guide to insects,"from the lobster learners series, which encourages children to explore the world around them and see the everyday in a whole new way. <br /> ""don't squash that bug!"" is a junior field guide for backyard explorers. it introduces young readers to the insect world, presenting fundamental information alongside interesting facts. bold, bright, and packed with colorful photos, fascinating sidebars, a helpful glossary, and tips for where to find bugs, this a must-have for curious kids. once readers discover how amazing insects can be, they'll go from squashing bugs to studying them up close!",1
13,today at the bluebird café: a branchful of birds,"<b>it's all-you-can-eat<br /> at the bluebird café,<br /> a grasshopper-katydid-cricket buffet,<br /> with berries and snails<br /> and a bluebottle fly,<br /> a sip of the lake<br /> and a bite of the sky.<br /></b> <br /><br /> a world of birds unfolds in twenty-two vivid poems that capture the unique personalities of birds from backyard blue jays to toucans and cockatoos. come sweep through the sky with an eagle, compare table manners with a vulture, and mock a mockingbird -- if you dare! <br /><br /> debora ruddell's poems are funny and thoughtful, silly and sweet. joan rankin's delightful pictures enchant the eye and tickle the funny bone. there is something for everyone who flies through the pages of this brilliantly birdbrained book.",1
16,grandpa's witched-up christmas,grandpa tells about the year he almost missed christmas because some witches had turned him into a pig.,1
17,scooby-doo and the alien invaders!,check out these picture stories based on the bestselling scooby direct-to-video movies.,1
19,naomi knows it's springtime,"it's springtime. naomi knows the season by hearing its familiar sounds and savoring its tastes and smells. although naomi is blind, she creates a rainbow in her mind, allowing her to sense the breathtaking, sunbursting feeling of spring. this unique picture book touches the emotions that springtime sparks in all of us. full color.",1
23,can you see what i see? seymour builds a boat: picture puzzles to search and solve,"<b>an all-new format and story based on the best-selling can you see what i see? series!</b><br />seymour, a character in both can you see what i see? and dream machine, has his very own story in this 9x9 paper-over-board storybook!",1
24,can you see what i see?: seymour makes new friends: picture puzzles to search and solve,"search-and-find fun---especially for preschoolers! from bestselling author/photographer walter wick.<br /><br />in this sequel to seymour and the juice box boat, seymour gathers beads, pipe cleaners, a craft stick, and a block to make two rabbit friends, and a seesaw to play on.<br /><br />preschoolers can use the picture clues and search for hidden objects in the colorful photographs of a play-town filled with toys.<br /><br />additional learning games are provided by an early childhood specialist.",1
25,can you see what i see? animals: animals read-and-seek (scholastic reader level 1),"<div>bestselling author/photographer walter wick creates a new level 1 reader series with lots of photographic search-and-find fun--especially for beginning readers!<br /><br />from the photographer of the bestselling i spy books and creator of the can you see what i see? series is a new rhyming, search-and-find reader series--especially for the newest reader! readers can use the picture clues to search for dozens of hidden trinkets and toys!<br /><br />this book builds confidence in new readers and provides hours of fun as well!</div>",1
26,franklin goes to the hospital,"franklin's shell has cracked, and he needs to be a brave turtle when it's time to go to the hospital. full-color illustrations.",1
27,franklin is messy,franklin's room is messy. he can never find his favorite toys. then he learns about cleaning up.,1
28,five green and speckled frogs,"this nursery rhyme, retold and illustrated by priscilla burris, features five frogs that really sparkle with glittery holographic foil and the simple concept of counting backwards from five to one!<br /><br />five green and speckled frogs/sitting on a speckled log/ eating some most delicious bugs . . .<br /><br />what happens next will delight preschoolers with a fun, repetitious rhyme and uniquely speckled frogs. one by one, each frog--with brightly sparkled spots--jumps into a pool, leaving behind other frog friends sitting on a log. then all five frogs join in the pool party!<br /><br />priscilla burris's distinctive frogs put a new spin on an old favorite song. this rhyme teaches children to count down from five to one with the help of frogs that are generously spotted with glittery foil throughout the book.",1
29,the leprechaun in the basement,"it's st. patrick's day and michael mckeever needs new baseball shoes. as he heads into the basement on an errand, he hears someone singing--someone who, unbeknownst to the mckeevers, has been living there for years. when michael discovers the leprechaun in his basement, he's sure his luck will change. full-color illustrations. (available now)",1
32,"latkes, latkes, good to eat: a chanukah story","sadie and her four little brothers are very poor and always hungry. on the first night of chanukah, sadie performs a generous act, and in turn receives a frying pan that cooks up sizzling hot, golden latkes on command. sadie tells her brothers never to use the magic pan, but when she goes out one afternoon, the mischievous boys can't resist. they remember the words to start the pan cooking . . . but what were the words to make it stop? this humorous tale of generosity and greed is accompanied by bright, cheerful illustrations depicting a traditional russian village. an author's note and a recipe for sadie's latkes are included.",1
33,because your daddy loves you,"a day spent with a young child at the beach is filled with many minor dramas—a lost shoe, a ball that floats too far out into the water, a drippy ice-cream cone. these can be frustrating events for both child and parent, but the daddy in this book finds a way to fix each problem, lovingly and patiently. why? because he loves his little girl, of course! this spot-on pairing of words and images is a warm, reassuring, and humorous tribute to dads everywhere.",1
34,big al,"poor big al! he just wants to make friends. and in the whole wide blue sea you can't find a nicer fish. but because big al is large and scary-looking, the little fish are afraid to get to know him. <br />what can he do? he tries everything he can think of -- from disguising himself with seaweed to burrowing under the ocean floor so he'll look smaller. but something always goes wrong, and lonely big al wonders if he'll ever have a single friend. then one frightening day, when a fishing net captures the other fish, big al gets the chance to prove what a wonderful friend he can be!",1
35,workshop,"the dazzling cut-paper artistry of caldecott medalist david wisniewski combines with andrew clements's free-verse celebration of woodworking tools to tell the story of a surprise in the making. the evocative description of each workshop tool-ruler, axe, saw, hammer, and the rest-is accompanied by a vivid, dramatically composed illustration showing how it is used in the step-by-step construction of an ornate, old-fashioned carousel. an eager young apprentice assists one craftsman after another as the project takes shape and is rewarded with a toolbox of his won. young wood-working enthusiasts will enjoy the affectionate and knowledgeable portraits of familiar tools as well as an acclaimed artist's vision of the magic simple tools can do.",1
36,temple cat,"the little cat living in a temple in the ancient city of neba has everything he could wish for. but from his perch in a courtyard tree, he can see the world beyond the temple walls. there, children play in the streets. there, other cats roam free. so one night the temple cat slips out. during his long, hard journey, he lives as a cat, not a god - and finds, at the edge of the sea, his true heart's desire.<br /><br /><p>author biography: andrew clements is the author of many books for children, including, for clarion, bright christmas and workshop. a full-time writer, he lives in westborough, massachusetts.</p><p>born in new hampshire and raised in vermont, kate kiesler began painting at an early age. she graduated from the rhode island school of design and now paints and illustrates full-time. kate paints with oils, and her rich style has been highly praised. kate kiesler has illustrated numerous picture books, including the great frog race and other poems. she lives in frisco, colorado.</p>",1
38,the winter at valley forge: survival and victory,these histories use an exciting story to teach young readers about life during the colonization of america.,1
39,hanukkah at valley forge,"a soldier tells george washington the miraculous story of how a ragtag army of jewish soldiers defeated a much larger force of powerful greeks, a tale that provides just the kind of inspiration the general needs. ?quietly beautiful watercolor illustrations draw a visual distinction between the frigid blue pennsylvania night and the golden light of ancient israel, which is further reflected in the warm glow of the hanukkah candles.? ?""school library journal"" <br />",1
40,how does a czar eat potatoes?,the child of a russian peasant contrasts the life of his father and that of a czar.,1
41,laura ingalls wilder,laura ingalls wilder grew up on a farm in the midwest. learn more about how she decided to share her stories with the world.,1
42,floating in space,"<strong>don't jump! if you're on the space shuttle, that is. astronauts never jump in space. they usually drink out of straws, and they lift tons of equipment as if it were light as air. find out more in this information-packed voyage into space. </strong><strong>this nonfiction picture book is an excellent choice to share during homeschooling, in particular for children ages 4 to 6. it’s a fun way to learn to read and as a supplement for activity books for children.</strong><br /><br />this is a level 2 let’s-read-and-find-out science title, which means the book explores more challenging concepts for children in the primary grades and supports the common core learning standards, next generation science standards, and the science, technology, engineering, and math (stem) standards. let’s-read-and-find-out is the winner of the american association for the advancement of science/subaru science books &amp; films prize for outstanding science series.",1
43,"you wouldn't want to be at the boston tea party!: wharf water tea, you'd rather not drink","the year is 1773. your name is george robert twelves hewes and you were born in boston massachusetts in 1742. you grew to manhood in a time of turmoil, when american colonists first began to rebel against the unjust rule of the british government. you were to be at the center of some of the most important events in america's history--events that led to the american revolution. on the night of december 16, 1773, you were busy blacking your face with coal dust and disguising yourself as a mohawk indian. you are about to be a part of history. you are about to find out why you wouldn't want to be at the boston tea party!",1
44,boston tea party,"what would lead someone to go out in the middle of the night and throw shiploads of tea into a harbor? the boston tea party is a familiar tale, but the story leading up to it goes beyond the drama of that one night. pamela duncan edwards' unique take on this event gets to the root of the story as this prelude to the revolutionary war unfolds. enhanced by english and colonial mice characters, henry cole's rich and mood-evoking illustrations bring the story to life.",1
46,"young cam jansen and the ice skate mystery (young cam jansen mysteries, #4)","cam jansen and her friend eric are going ice skating. when eric loses the locker key, cam's amazing memory clicks into action to find it in this latest edition to the popular young cam jansen series.",1
47,"young cam jansen and the lions' lunch mystery (young cam jansen mysteries, #13)","a field trip to the zoo seems like fun for cam jansen and her classmates— until lunchtime. everyone else’s sandwich is safely delivered, but danny can’t find his anywhere! did the lions eat it? only cam and her amazing memory can crack this easy-to-read mystery.",1
48,bat jamboree,"the bat jamboree was held early this year, at the old drive-in movie not too far from here. it was standing room only as the houselights went down. the spotlight came up -- there wasn't a sound! then:<br /><br />1 bat sang.2 bats flapped. 3 bats cha-cha-ed4 bats tapped.<br /><br /><br /><br />every year a troupe of 55 buoyant bats comes up with 10 fabulous acts to entertain and instruct an enthusiatic audience. and every year the bats top themselves when they perform the grandest finale of all . . .<br /><br />with its exuberant text and enchanting illustrations, bat jamboree is both a counting book and a thrilling theatrical event.",1
49,littlebat's halloween story,"littlebat, who lives with his mother in the attic of the public library, loves to poke his head through a hole in the attic floor and listen to the librarian read stories to the children. one day, while listening to a story about a butterfly, he gets so excited by the picture in the book that he loses his grip. as he plummets into the room below, the children scream and the librarian shoos him away with her book. ""mama!"" littlebat cries as he zooms back to the safety of the attic.littlebat's mother says he must not go close to a book again. ""never?"" asks littlebat. ""well...maybe there's a time when it can be done, "" his mother says, relenting. ""you must wait for changes.""<br /><br />so littlebat waits. the seasons slowly change, from spring to summer to fall. at last the nights are longer and cooler and the leaves have turned red and gold. pumpkins appear. it's time!",1
51,abigale the happy whale,"abigale comes up with a ""whale"" of an idea to prevent land people from polluting the sea.",1
52,pal the pony,[<i>penguin young readers level 2</i>]<br /><br />pal the pony is the smallest pony at the rodeo! he's upset because he can't do what the big horses can do. but he discovers there is one thing he's better at than anyone else on the ranch.,1
53,"puff-puff, chugga-chugga","puff-puff, chugga-chugga, here comes the little train!<br /><br />puff-puff, chugga-chugga,<br /><br />the little train holds lots of<br /><br />passengers!<br /><br />puff-puff, chugga-chugga,<br /><br />the little train holds lots of<br /><br />packages!<br /><br />puff-puff, chugga-chugga,<br /><br />what happens when someone...<br /><br />sneezes?<br /><br />puff-puff, chugga-chugga,<br /><br />hop aboard to find out!",1
55,going back home: an artist returns to the south,"more than half a century after her family moved north to find a better life, artist michele wood returned to the south to see and experience the land where her ancestors lived, struggled, and thrived. in going back home, michele presents a series of paintings inspired by this personal journey. through her complex and richly patterned art, michele places herself back in history, imagining her ancestors' struggles to overcome hardship through family love and community.",1
56,the silver cow: a welsh tale,"from wales comes this tale of young huw, whose lilting harp music enchants tylwyth teg, the magic people of bearded lake. <br />from the depths of the black lake comes the gift of a beautiful silver cow; and the cow is magic, for its milk is three times as rich as the milk of an ordinary cow, and she gives three times as much. <br />huw's father is a selfish and greedy man, and his wealth makes him greedier than ever. huw tries to make his father see the magic, but he scoffs at tylwyth teg...until they seek their revenge. <br />told with a rhythm that evokes the welsh language, susan cooper has brought new life to this ancient tale. warwick hutton's evocative illustrations capture the magic of this fateful story.",1
59,farmer duck,"in order to make it easier to work with groups, this picture book is one of a series of titles that have been enlarged.",1
61,star wars: journey through space,"part of a multilevel reading programme, this ""level 2"" dk reader is intended for children who are beginning to read alone, and features a lively, fact-packed text.",1
62,nine o'clock lullaby,"when it′s 9 p.m. in brooklyn, it′s 10 p.m. in puerto rico, and midnight on the mid-atlantic. far from the vroom of new york traffic, the puerto rican night is filled with conga music, sweet rice, and fruit ice. in india, villagers begin their morning chores as well ropes squeak, buckets splash, and bracelets jangle. meanwhile, in australia, a sly kookaburra is ready for a noontime feast.<br /><br />marilyn singer′s rhythmic lullaby, with bright illustrations by franc. lessac, gently transports children through different time zones and distant lands. young readers will travel far from home, then back again, on a glorious bedtime journey.<br /><br />ages 5+",1
63,the roses in my carpets,"for a young refugee living with loss and terror-filled memories, time is measured by the next bucket of water, the next portion of bread, and the next call to prayer. here, where everything - walls, floor, courtyard - is mud, a boy's heart can still long for freedom, independence, and safety. and here, where life is terribly fragile, the strength to endure grows out of need. but the strength to dreams comes from within.",1
64,the shoemaker's boy,"when his father goes off on a long quest to find a way to cure his wife's mysterious illness, a shoemaker's son has some strange and frightening experiences.",1
65,the cherry tree,"an asian mother ties an explanation of family history to a poetic lesson on the changing seasons when her daughter asks, """"mama, what comes in spring?"""" jr lib guild.",1
66,a picture book of thurgood marshall,"<b>a brilliant lawyer, a leader of the civil rights movement, and the first african-american justice of the us supreme court.</b><br /><br />a strong-willed boy, marshall grew up in baltimore, md with the guidance of his parents who believed in the power of equality, education, and the importance of hard work.<br /><br />his determination carried him through law school at howard university where he graduated at the top of his class.<br /><br />marshall worked for the naacp (national association for ther advancement of colored people) and was the first african american to win a case before the united states supreme court. he argued thirty-two cases before the supreme court--winning twenty-nine. his greatest court victory was the case of <i>brown vs. board of education of topek</i>a--a turning point in the battle against segregation.<br /><br />ultimately, marshall would be appointed as a justice on the supreme court. when he retired in 1991, he was called a true american hero and the most significant lawyer of his time.<br /><br />for almost thirty years, david adler's picture book biography series has profiled famous people who changed the world. colorful, kid-friendly illustrations combine with adler's ""expert mixtures of facts and personality"" (<i>booklist</i>) to introduce young readers to history through compelling biographies of presidents, heroes, inventors, explorers, and adventurers. these books are ideal for first and second graders interested in history or who need reliable sources for school book reports.",1
67,the bunny who found easter,"charlotte zolotow's <i>the bunny who found easter</i> has delighted generations of readers. a lonely bunny goes hunting for easter, where he hopes to find other bunnies. his search takes him through the seasons, but only in the spring does he find the true meaning of easter. to this heartwarming story helen craig has lent her own original interpretation. as multiple stories unfold in each piece of art, viewer and reader are drawn into the poetic, song-filled text. this new rendition of an old classic is sure to charm readers young and old.",1
68,the witch's child,"in this scary story, a witch who desires a child of her own makes a rag doll but cannot bring it to life. in her anger, she decides if she cant have a child, no one can. then a little girl stumbles into the witchs house and discovers the doll, and her affection for the doll brings it to life. full color.",1
69,princess pigsty,"young princess isabella has it all - but has had enough of it! she has had enough of being waited on hand and foot, of having to smile all the time, and of wearing beautiful dresses so she can't climb trees. when the king banishes her to the pigsty, his punishment backfires - isabella's happier than a pig in mud!",1
70,pirate girl,"best-selling author cornelia funke and acclaimed illustrator kerstin meyer -- the winning team behind the princess knight -- deliver another glorious adventure tale that celebrates girlhood!<br /><br />ferocious pirate captain firebeard thinks that he and the ruthless crew of the ""horrible haddock"" rule the high seas. but firebeard and his band meet their match when they kidnap a small but feisty girl named molly. even after the pirates threaten molly with sharks and make her scrub the deck, she is utterly defiant -- and will not tell firebeard who her parents are. all the while, molly is busy sending secret messages in bottles...but to whom? when her rescuers arrive, the pirates are in for a real surprise! for the true fiercest pirate on the seas is none other than molly's mother!",1
71,mr. grumble,"mr. grumble complains about everything -- until the day a wizard teaches him a lesson.<br /><br />no collection is complete without the latest adorable additions to the ever-popular, always brimming with personality mr. men and little miss family. over 150 million copies sold worldwide!",1
72,mr. nonsense,"get ready for the second invasion of <i>little miss</i> and <i>little mr. men</i>! that's right - those zany, pint-sized characters are back. easy enough for young readers and witty enough for adults!mr. nonsensemr. nonsense finds a good friend?in the laughable mr. silly.<br /><br />back to the <i>mr. men &amp; little miss</i> microsite.",1
73,mr. greedy,"get ready for the second invasion of <em>little miss</em> and <em>little mr. men</em>! that's right - those zany, pint-sized characters are back. easy enough for young readers and witty enough for adults! mr. greedy wants to eat everything in sight. how will he ever stick to a low-calorie diet?",1
75,"hello, fish!: visiting the coral reef","sylvia earl becomes an underwater guide as she shows and talks about some of her favourite fish. enchanting gobi's pop out of the ocean, jewel-like dam selfish glimmer in the sea, a silver reef shark smiles enigmatically. each spread offers a poetic yet factual text about a different fish with a large, brilliantly coloured photograph of that fish. an enchanting introduction to life around a coral reef.",1
76,who took the cookies from the cookie jar?,"this text is a fun adaptation of the classic playground song. help skunk solve the mystery as he asks each of his animal friends, mouse, raven, squirrel, rabbit, turtle, raccoon, snake, beaver, and frog, who took the cookie from the cookie jar?",1
77,audubon: a vision,"in a 1969 interview with richard sale, robert penn warren describes his intentions in writing audubon: a vision: ""i just finished a long poem, audubon: a vision. it's about audubon's life as a kind of focus for a lot of things about humans. i hope it's the way life is. it's about his heroic solution of his problems and the problems of being a man.""(1) warren elaborates on what attracted him to audubon in a later interview with peter stitt, saying, ""i began to see him as a certain kind of man, a man who has finally learned to accept his fate. the poem is about man and his fate - all along, audubon resisted his fate and thought it was evil man is supposed to support his family, and so forth. but now he accepts his fate"" (talking p. 244).<br /><br />critics generally seem to agree that audubon: a vision is a watershed moment in warren's career as a poet. calvin bedient goes so far as to say that warren's ""greatness as a writer ... began with audubon: a vision.""(2) much of the critical attention has focused on the poem's sources and influences, with a number of critics drawing parallels between the poem and eudora welty's portrayal of audubon in her short story ""a still moment.""(3) but a number of critics have also observed the poem's mythological or archetypal qualities. in an early review, louis martz claims that in the poem warren, ""like aeschylus or ovid, is re-imagining a myth.""(4) hugh ruppersburg concurs, stating that the poem ""seeks to define audubon's mythic significance in history and literature.""(5) in any case, reviewers and critics alike see the work as the culmination and embodiment of all of warren's major concerns and themes. ...<br /><br />(anthony szczesiul)",1
79,the dream jar,"one little girl, with the help of her sister, discovers the secret for turning bad dreams into good ones. original, quirky, and rich illustrations complement this sparkling story that deals with the very real problem of children’s nightmares. <br /><br />discover the dream jar and the power of your imagination—and turn your terribly horrible dreams into dreamy ones.",1
80,down the back of the chair,"when dad loses his car keys, little mary suggests they might be down the back of the chair. join in the fun as dad begins the search, finding everything from a hairy string to a diamond ring--and much more. full color.",1
81,little bunny foo foo: told and sung by the good fairy,"little bunny foo foo / hoppin' through the forest / scoopin' up the field mice / and boppin' 'em on the head.... this kid pleasing, sing-along song is now a hilarious book.<br /><br />in this irresistible book it's not just field mice that suffer little bunny foo foo's mischievous tricks, but woodchucks, foxes, &amp; grizzly bears! and as lbff's subjects grow so do his scooping methods, from lasso to tractor bucket to crane. all the while, lbff takes his naughtiness to hyperbolic heights as the good fairy--hilariously rendered as a possum--points out the error of his wayward ways w/ humor &amp; spunk. painted in a warm, folksy style w/ vibrant colors &amp; soft edges, johnson strikes just the right balance between the joys of being bad &amp; a tongue-in-cheek lesson in behavioral reform.",1
82,usborne the big bug search (great searches),-- brain-teasing picture puzzles with lots of items to spot-- beautiful realistic illustrations,1
83,clifford makes a friend,"originally published in november 1998, clifford makes a friend is now a scholastic reader! <br />everyone's favorite big red dog is back again as a part of the new scholastic reader series! <br />the boy sees clifford, clifford sees the boy, and they're friends at first sight! the boy and the dog run, jump, and cartwheel their way through the day in a story that young children can read themselves!<br />",1
84,clifford's halloween,clifford is the hit of the halloween party when he arrives dressed as an enormous ghost.,1
85,"clifford, el gran perro colorado (clifford the big red dog)","spanish version of iclifford the big red dog/i.br/br/meet <br />clifford. get to know him, and see why he's not only emily elizabeth's <br />favorite big red dog but america's favorite big red dog!",1
86,clifford's spring clean-up,"in this all-new adventure, he's hard at work getting the house clean. when emily elizabeth airs out some throw rugs, he grabs the living room carpet and gives it a good shake--in fact, he shakes it to pieces! what clifford does best is help clear out the weeds for the vacant lot on earth day.",1
93,clifford visits the hospital,<br /><br />,1
95,clifford keeps cool,"during a long hot summer, clifford tries many things to keep cool. children adore clifford, the red dog, whether he's portrayed as a puppy or as the lovable giant dog that's constantly getting into trouble. these stories highlight his adventurous, cheerful, giving, and tender ways.",1
96,clifford's first school day (classic storybook),"<b>clifford is going to school!</b><br />emily elizabeth remembers taking her small red puppy clifford to school and all the comical calamities that occured there. clifford tries to fingerpaint and, sliding through the paint, makes a very creative masterpiece. then, during water play, he is captain of the ship, until he tips over the mast and falls into the water! a bag of flour used to make cookies for snack time intrigues clifford, until it falls on him, and covers him with white powder! oh clifford! however, he's not done yet. outside, emily elizabeth puts him on a slide and, crash! he lands in someone's sand castle! but clifford helps repair it and all is well. emily elizabeth's teacher asks her to bring clifford back when he's a little bigger. as emily elizabeth says, ""she should see him now.""<br /><br />featuring a full page of stickers!",1
97,clifford's sports day,"when emily elizabeth's enormous, exuberant pet joins the kids for a day of outdoor games and races, the result is big fun! from using sack race bags as booties to becoming the team's illegal secret weapon in the tug of war, there's no keeping clifford the big red dog down. full color.",1
99,"clifford's valentines (scholastic reader, level 1)","<b>easy words, a funny valentine's day story, and everyone's favorite big red dog!</b><br />it's valentine's day, and clifford receives valentines from so many friends! then when it snows, clifford has an idea for how to give everyone a very special valentine!<br /><br />featuring a full page of stickers!",1
100,clifford to the rescue,"clifford uses his size to help out in many ways--saving a kitten, rescuing people from a fire, masquerading as a elephant, and supporting up a bridge so a parade can pass. full-color illustrations.",1
101,clifford's day with dad,"children will love this new norman bridwell story about all the fun activities clifford and his dad do together!<br /><br />when clifford visits his dad in the country, they spend a fun day fetching, digging and playing together!",1
102,clifford's thanksgiving visit,clifford and emily elizabeth discover how much they have to be thankful for on thanksgiving day.,1
104,clifford and the big leaf pile,"clifford, cleo, and t-bone are having fun gathering leaves into piles. when t-bone has to leave, clifford and cleo offer to watch his pile for him until he returns. but the temptation to jump into t-bone's pile overtakes their promise, and soon t-bone's leaves are scattered everywhere",1
105,clifford goes to washington,"walk around washington, d.c., and explore its sights and sounds with clifford the big red dog as your travel-mate!",1
106,clifford's first christmas,"the original clifford's christmas is a perennial backlist favorite, with more than 710,000 copies sold, and now here's clifford as a puppy--in an original paperback that recounts his first christmas ever with emily elizabeth.",1
109,how many sharks in the bath?,"here is a fresh approach to early number concepts. this fun activity book is a perfect way to help children understand quantities rather than just reciting them in order. it helps with the recognition of numerals and words, and what they stand for. an activity book to be shared by adults and children, which can also be enjoyed by early readers.",1
111,five little sharks swimming in the sea,"taking the popular ""monkeys jumping on the bed"" rhyme and adding a clever undersea twist, this book will delight children of all ages!<br /><br />the popular ""monkeys jumping on the bed"" rhyme is reimagined here with sharks misbehaving. the sharks bump into manatees, get stuck on the ocean floor, bang their tails, get lost playing hide-and-seek, and eat too much fish--all resulting in mother shark calling the doctor, time and time again. in the end, the sharks all return to health and swim happily in the sea.<br />",1
112,all about sharks,"part of a major reprinting of renowned naturalist jim arnosky's beloved all about series, all about sharks is a thorough and colorful introduction to the world of sharks.<br /><br />in spring 08, scholastic nonfiction is relaunching jim arnosky's treasured all about series with all new paperback covers. in all about sharks, arnosky shows how these animals grow and live, answering kids' biggest questions about sharks, such as: how do sharks find food in the dark ocean water? what do shark fins do? how many teeth do sharks have? what was the biggest shark ever? packed with intriguing information and brought to life by arnosky's vibrant watercolors, this book will fascinate young readers.<br />",1
113,shark in the sea,this newest title in the popular series invites readers into the world of the endangered great white shark for better insight into this mighty predator of the sea.,1
114,"giant shark: megalodon, the super prehistoric predator","for millions of years, a massive shark more than twice as huge as the modern-day great white shark cruised the depths of the ocean, attacking and devouring prey. fossil remains reveal megalodon to have been more than fifty feet long, with razor-sharp teeth, each the size of a human hand, and jaws so large it could swallow prey larger than a common dolphin. it was the biggest predatory shark ever. award-winning author caroline arnold takes young readers deep beneath the prehistoric sea to investigate the habits of this monstrous shark. fluid, detailed watercolors accompany this clear and accessible account of one of the most incredible creatures to inhabit our world. index.",1
115,little green,"a little green hummingbird is flying through a sunny garden, leaving a path for sharp eyes to follow. an artist is watching--and painting what he sees! with a playful, rhyming text and vibrant collage illustrations, keith baker captures all the energy and excitement of a hummingbird's flight in this engaging picture book just right for young readers and artists.<br />",1
117,how do you know what time it is?,"what would life be like with no clocks and no calendars? how would you know when to get up in the morning? long, long ago, all people could do was watch the sun and moon and try to figure things out. eventually, they made simple clocks like sundials.",1
118,home for a bunny,"generations of children have followed this furry, lovable bunny on his journey to find a home. margaret wise brown’s simple yet playful tale is beautifully complemented by garth williams’s exquisite artwork.<br /><br /><br /><i>from the hardcover library binding edition.</i>",1
120,baby on the way,"<b>here's the perfect book for baby showers</b><br /><br /> what can a child expect when mom is expecting? what will happen between now and when the new baby comes--and when a child is going to be a big brother or big sister? what should a child do while waiting for a sibling to arrive? this carefully explained picture book provides answers to these questions and more, helping make the arrival exciting instead of scary.<br /><br /> part of the sears children's library picture books, this title provides helpful information for young children expecting a new brother or sister.",1
121,navajo abc: a diné alphabet book,"<p> <i><blockquote>we call ourselves t'áá diné, which means ""the people."" <p> we are also called the navajo.</p></blockquote></i> </p><p> and so begins this introduction to the largest tribe of native americans in the united states. come and learn all about navajo life through objects and words in this special alphabet book. each letter represents an aspect of navajo life -- a for arroyo, b for belt, c for cradle board. a unique glossary translates navajo words into english, and vice versa, to open the door to tradition and convey the richness of the diné culture and language.</p>",1
123,look to the north: a wolf pup diary,"newbery medalist jean craighead george lovingly tells the story of three wolf pups--from the moment they open their eyes to the time they lead the hunt. lyrical passages in her wolf pup diary describe how the pups tumble and play and when they first learn to howl and talk wolk talk. readers are reminded of the changes in nature that are happening in the lower 48 states as they ""look to the north"" to watch the wolf pups grow. jean george's words and lucia washburn's breathtaking paintings give the reader a rare glimpse of one of nature's noblest creatures: the wolf.",1
124,william penn: founder of pennsylvania,he struggled for freedom to practice his religion.,1
126,nothing sticks like a shadow,"to win a bet, rabbit tries to get rid of his shadow with the aid of his many animal friends.",1
